eXoID	Setup
DOS01308	DSETUP32.EXE
DOS01312	No setup found
DOS01313	INSTALL.COM
DOS01314	No setup found
DOS01315	No setup found
DOS01316	Parameters added to boot command
DOS01317	No setup found
DOS01318	No setup found
DOS01319	Options during startup
DOS01321	SETUP.EXE
DOS01323	loader.exe
DOS01324	No setup found
DOS01325	No setup found
DOS01326	No setup found
DOS01327	No setup found
DOS01328	No setup found
DOS01329	Options during startup
DOS01330	Options during startup
DOS01331	No setup found
DOS01332	No setup found
DOS01333	SETSOUND.EXE
DOS01335	SETSOUND.EXE
DOS01336	No setup found
DOS01337	SETSOUND.EXE
DOS01338	Options during startup
DOS01339	No setup found
DOS01340	No setup found
DOS01341	No setup found
DOS01342	SETUP.EXE
DOS01343	No setup found
DOS01344	No setup found
DOS01345	No setup found
DOS01346	No setup found
DOS01347	No setup found
DOS01348	No setup found
DOS01349	No setup found
DOS01350	No setup found
DOS01351	No setup found
DOS01352	No setup found
DOS01353	No setup found
DOS01354	No setup found
DOS01355	No setup found
DOS01356	No setup found
DOS01357	SETUP.EXE
DOS01358	Options during startup
DOS01359	No setup found
DOS01360	No setup found
DOS01361	No setup found
DOS01362	INSTALL.EXE
DOS01363	No setup found
DOS01364	SETUP.EXE
DOS01365	setup.exe
DOS01366	setup.exe
DOS01367	Options during startup
DOS01369	No setup found
DOS01370	No setup found
DOS01371	No setup found
DOS01372	No setup found
DOS01373	No setup found
DOS01374	Options during startup
DOS01375	No setup found
DOS01376	Options during startup
